budget,genres,keywords,overview,release_date,tagline,title,cast,director
7000000,Action Drama,sport catholic mother superior catholic school convent school,"In the early 70s, Cathy Rush becomes the head basketball coach at a tiny, all-girls Catholic college. Though her team has no gym and no uniforms -- and the school itself is in danger of being sold -- Coach Rush looks to steer her girls to their first national championship.",10/21/2009,,The Mighty Macs,Carla Gugino Ellen Burstyn Marley Shelton David Boreanaz Jennifer Butler,Tim Chambers
7000000,Comedy,male nudity female nudity mexico prostitute nudity,"Set in 1965, four Los Angeles school friends -- Woody, Dave, Spider and Wendell -- go on a series of misadventures when they head to Tijuana, Mexico, for a night of cruisin', causing trouble, and to lose their virginity.",4/8/1983,The last word about the first time.,Losin' It,"Tom Cruise Jackie Earle Haley John Stockwell John P. Navin, Jr. Shelley Long",Curtis Hanson
7000000,Drama Romance,adoptive mother nymphomaniac mother daughter relationship,"The lives of three women have a commonality: adoption. Karen is a physical therapist who regrets that, as a teenager, she gave up her daughter for adoption. Elizabeth was an adopted child and is now a successful lawyer, but her personal life lacks warmth. Lucy and her husband have failed to conceive and now hope to adopt a baby to make their family complete.",11/7/2009,,Mother and Child,Naomi Watts Samuel L. Jackson Annette Bening Carla Gallo Kerry Washington,Rodrigo Garc\u00eda
0,Action Adventure Drama War,gypsy middle east foreign legion wilderness archaeologist,"The French Foreign Legion, in the early 20s, is tasked to protect a group of Archaeologists in the middle east. After scenes depicting the hardship of day-to-day Foreign Legion life, and the ragtag collection of people who join, the local Arabs take offence at the Archaeologists and declare Jihad. A large battle takes place, with the inevitable last stand.",9/8/1977,,March or Die,Gene Hackman Terence Hill Catherine Deneuve Ian Holm Jack O'Halloran,Dick Richards
0,Fantasy Comedy Science Fiction,servant time travel clumsy fellow middle ages nobility,"This outrageous time-travel comedy follows the misadventures of a wacky medieval knight (Jean Reno) and his faithful servant when they are accidentally transported to contemporary times by a senile sorcererMayhem rules as these 12th-century visitors try adapting to the wildly confusing modern world. To avoid being stuck here for good, however, they soon begin an all-out cosmic assault on their former castle -- now a luxury hotel -- in their quest to return to the past",1/27/1993,They Weren't Born Yesterday!,The Visitors,Jean Reno Val\u00e9rie Lemercier Christian Clavier Marie-Anne Chazel Christian Bujeau,Jean-Marie Poir\u00e9
8000000,Comedy Drama,milan independent film luxury hotel man in towel\u00a0 woman director,A hard-living Hollywood actor re-examines his life after his 11-year-old daughter surprises him with a visit.,9/3/2010,,Somewhere,Stephen Dorff Chris Pontius Erin Wasson Alexandra Williams Nathalie Fay,Sofia Coppola
7000000,Comedy Drama,female nudity based on novel stripper flop dark comedy,"Tucker decides to take an impromptu trip to celebrate his friend's bachelor party. He drags his friend into a lie with his fiancée, gets him into trouble and then abandons him in order to pursue a hilarious carnal interest. Tucker is disinvited to the wedding, and in order to get back in, Tucker has to find a way to balance his narcissism with the demands of friendship.",9/25/2009,,I Hope They Serve Beer in Hell,Matt Czuchry Jesse Bradford Marika Dominczyk Traci Lords Geoff Stults,Bob Gosse
0,Comedy,inventor invention scandal,A surfer becomes the head of a major company.,3/13/1998,Work sucks!,Chairman of the Board,Scott 'Carrot Top' Thompson Courtney Thorne-Smith Larry Miller Jack Warden M. Emmet Walsh,Alex Zamm
7000000,Drama,loss of mother clerk grocery loss of relative loss of wife,A young boy has lost his mother and is losing touch with his father and the world around him. Then he meets Hesher who manages to make his life even more chaotic.,1/22/2010,Sometimes life gives you the finger and sometimes it gives you...,Hesher,Joseph Gordon-Levitt Natalie Portman Rainn Wilson Audrey Wasilewski Frank Collison,Spencer Susser
0,Comedy Crime Drama,growing up money crime fatherhood,"After spending 12 years in prison for keeping his mouth shut, notorious safe-cracker Dom Hemingway is back on the streets of London looking to collect what he's owed.",11/15/2013,I want my money plus interest.... and a present,Dom Hemingway,Jude Law Demi\u00e1n Bichir Richard E. Grant Matthew C. Martino Emilia Clarke,Richard Shepard
3500000,Mystery Drama Adventure,desperation highway wilderness getting lost friendship,Two friends named Gerry become lost in the desert after taking a wrong turn. Their attempts to find their way home only lead them into further trouble.,1/12/2002,,Gerry,Casey Affleck Matt Damon,Gus Van Sant
7000000,Drama Romance,,"Drama set in 1930s London with two sisters, Madeleine married to Rickie, and Dinah, who falls in love with him. Rickie and Dinah begin an affair which is to have repercussions throughout all their lives.",1/1/2002,,The Heart of Me,Helena Bonham Carter Olivia Williams Paul Bettany Eleanor Bron Tom Ward,Thaddeus O'Sullivan
7000000,Romance Drama,new jersey equality lesbian relationship cancer,New Jersey car mechanic Stacie Andree and her police detective girlfriend Laurel Hester both battle to secure Hester's pension benefits after she was diagnosed with a terminal illness.,10/2/2015,A true story of love and injustice.,Freeheld,Julianne Moore Ellen Page Steve Carell Michael Shannon Luke Grimes,Peter Sollett
7000000,Comedy,independent film woman director,"THE EXTRA MAN is a sophisticated and moving comedy from filmmakers Shari Springer Berman and Robert Pulcini. THE EXTRA MAN follows Louis Ives (Paul Dano), a lonely dreamer who fancies himself the hero of an F. Scott Fitzgerald novel. When a deeply embarrassing incident forces him to leave his job at an exclusive Princeton prep school, Louis heads to New York City to make a fresh start. He quickly finds a 9 to 5 job at an environmental magazine, where he encounters an entrancing, green-obsessed co-worker Mary (Katie Holmes).",8/1/2010,"They're not gigolos, they're gentlemen.",The Extra Man,Kevin Kline Paul Dano Katie Holmes John C. Reilly Dan Hedaya,Shari Springer Berman
7000000,Drama Science Fiction,,"A group of scientists is sent to the planet Arkanar to help the local civilization, which is in the Medieval phase of its own history, to find the right path to progress. Their task is a difficult one: they cannot interfere violently and in no case can they kill. The scientist Rumata tries to save the local intellectuals from their punishment and cannot avoid taking a position. As if the question were: what would you do in God's place? Director's statement Aleksei wanted to make this film his entire life. The road was a long one. This is not a film about cruelty, but about love. A love that was there, tangible, alive, and that resisted through the hardest of conditions.",2/27/2013,,Hard to Be a God,Leonid Yarmolnik Yuriy Tsurilo Natalya Moteva Aleksandr Chutko Aleksandr Ilin,Aleksey German
7000000,Crime Thriller Comedy,independent film money,"A stroke of good luck turns lethal for Sam Phelan and his wife Leslie when they are faced with a life-changing decision that brings strange and sinister Pyke Kubic to their doorstep. As Pyke leads Sam and Leslie on a tumultuous adventure through the streets of Chicago, each are pulled deeper and deeper into a desperate spiral of deception and violence – all in the name of money.",1/1/2010,,Ca$h,Sean Bean Chris Hemsworth Victoria Profeta Thampy Antony Mike Starr,Stephen Milburn Anderson
0,Drama,adultery brain tumor south africa alcoholism divorce,"Set at the end of the 1960s, as Swaziland is about to receive independence from United Kingdom, the film follows the young Ralph Compton, at 12, through his parents' traumatic separation, till he's 14. The film is largely based on Richard E. Grant's own experiences as a teenager in Swaziland, where his father was head of education for the British government administration.",8/17/2005,Every family has its own language,Wah-Wah,Gabriel Byrne Emily Watson Julie Walters Nicholas Hoult Miranda Richardson,Richard E. Grant
6000000,Action Thriller Crime,arbitrary law boston twin brother russian mafia prologue,"With a God-inspired moral obligation to act against evil, twin brothers Conner and Murphy set out to rid Boston of criminals. However, rather than working within the system, these Irish Americans decide to take swift retribution into their own hands.",1/22/1999,Thy Kingdom Come. Thy Will Be Done.,The Boondock Saints,Willem Dafoe Norman Reedus Sean Patrick Flanery David Della Rocco David Ferry,Troy Duffy
0,Crime Thriller,,"This is a story about the biggest financial fraud attempted in Hong Kong, directed at the Government of Hong Kong and involved all 7 million Hong Kong citizens... no one is free from the scheme. Within the four decades of guarding Hong Kong's financial integrity, the ICAC has never come across an opponent so huge and so well organized as in the Z Torrent file... shadowy figures from the underworld of South America, Italy and Europe all ready to plot against the estimated 150 million dollars of Hong Kong citizens' tax money which was pooled in a fund called the WELFARE FUND. High profile chartered accountants, high ranking law enforcers, power lawyers, the super entrepreneurs; they all have their shares of play but none can really grasp the big picture; they are there only for what they desire most.",6/19/2014,,Z Storm,Louis Koo Gordon Lam Ka-Tung Dada Chan Janelle Sing Michael Wong,David Lam
7000000,Horror Thriller,sheriff vampire orphanage writer edgar allen poe,"A writer with a declining career arrives in a small town as part of his book tour and gets caught up in a murder mystery involving a young girl. That night in a dream, he is approached by a mysterious young ghost named V. He's unsure of her connection to the murder in the town, but is grateful for the story being handed to him. Ultimately he is led to the truth of the story, surprised to find that the ending has more to do with his own life than he could ever have anticipated.",9/10/2011,"Between the living and the dead, eviil is waiting.",Twixt,Val Kilmer Bruce Dern Ben Chaplin Elle Fanning Joanne Whalley,Francis Ford Coppola
7000000,Animation Fantasy,,"The ice-cold Snow Queen wishes to turn the world into a frozen landscape, with no light, no joy, no happiness, and no free will. A young man, Kai, is rumored to be the son of a man who is the queen's only remaining threat. He is abducted and held captive in the queen's palace, and it's up to his sister, Gerda, to rescue him. Gerda journeys across an icy land, facing difficult obstacles and meeting wonderful new friends that help her in her quest to set Kai free, defeat the Snow Queen, and save the world from eternal frost.",10/11/2012,"Cold can freeze your heart, love can set you free",The Snow Queen,Ivan Okhlobystin Dmitriy Nagiev Lyudmila Artemeva Anna Ardova Elizaveta Arzamasova,Vladlen Barbe
0,Family Animation Comedy Adventure,,"The Alphas and Omegas share a thrilling adventure after Runt discovers the Saw Tooth Cave. Runt finds a wolf in need and lends a helping paw. Stars Ben Diskin &amp; Kate Higgins.  American computer-animated action-comedy/fantasy film exclusively from Walmart. It is the fourth film in the Alpha and Omega franchise and the sequel to Alpha and Omega, A Howl-iday Adventure, and The Great Wolf Games.",7/21/2014,,Alpha and Omega: The Legend of the Saw Tooth Cave,Dee Dee Greene Ben Diskin Lindsay Torrance Kate Higgins Christopher Corey Smith,Richard Rich
0,Romance Western,gunslinger showdown marshal blackmail mine,A small gold mining camp is terrorised by a ruthless land owner wanting to take their land. Clint Eastwood arrives riding a pale horse just as a young girl is praying to God to help the miners. He is revealed to be a preacher with mysterious and possible otherworldly origins who teams up with the miners to defeat the land owner and the corrupt sheriff.,6/28/1985,... and hell followed with him.,Pale Rider,Clint Eastwood Michael Moriarty Carrie Snodgress Chris Penn Richard Dysart,Clint Eastwood
7000000,Adventure Science Fiction,wormhole space travel supernatural powers spaceship alien,"SG-1 searches for an ancient weapon which could help them defeat the Ori, and discover it may be in the Ori's own home galaxy. As the Ori prepare to send ships through to the Milky Way to attack Earth, SG-1 travels to the Ori galaxy aboard the Odyssey. The International Oversight committee have their own plans and SG-1 finds themselves in a distant galaxy fighting two powerful enemies.",3/11/2008,The lines have been drawn. The battle has been waged. Only one thing can save us...,Stargate: The Ark of Truth,Ben Browder Amanda Tapping Christopher Judge Michael Shanks Beau Bridges,Robert C. Cooper
6900000,Comedy Drama,1970s texas high school comedy coming of age,"The adventures of a group of Texas teens on their last day of school in 1976, centering on student Randall Floyd, who moves easily among stoners, jocks and geeks. Floyd is a star athlete, but he also likes smoking weed, which presents a conundrum when his football coach demands he sign a ""no drugs"" pledge.",9/24/1993,See it with a bud.,Dazed and Confused,Jason London Rory Cochrane Wiley Wiggins Sasha Jenson Michelle Burke,Richard Linklater
0,Comedy Drama Family Music,musical music summer teenager summer job,"The East High Wildcats are ready to have the time of their lives. Troy (Zac Efron) is thrilled when he’s offered a job in a country club, but it’s all part of Sharpay’s (Ashley Tisdale) plot to lure him away from Gabriella (Vanessa Hudgens). How will it all turn out? All questions are answered on the night of the club’s Talent Show.",8/17/2007,,High School Musical 2,Zac Efron Vanessa Hudgens Ashley Tisdale Lucas Grabeel Corbin Bleu,Kenny Ortega
0,Drama Romance,small town lovers bear north pole,"Set in a small town near the North Pole where roads lead to nowhere, the story follows Roman and Lucy, two burning souls who come together to make a leap for life and inner peace.",10/2/2016,,Two Lovers and a Bear,Dane DeHaan Tatiana Maslany Gordon Pinsent John Ralston Joel Gagne,Kim Nguyen
7000000,Thriller Crime Drama,mobster money problems borrow trouble classmates,Four young men make a risky investment together that puts them in trouble with the mob.,11/20/2015,Leave the crime to the criminals,Criminal Activities,Dan Stevens John Travolta Michael Pitt Jackie Earle Haley Travis Aaron Wade,Jackie Earle Haley
0,Drama History Romance,berlin jew forbidden love lesbian relationship homosexuality,"Berlin 1943/44 (""The Battle of Berlin""). Felice, an intelligent and courageous Jewish woman who lives under a false name, belongs to an underground organization. Lilly, a devoted mother of four, though an occasional unfaithful wife, is desperate for love. An unusual and passionate love between them blossoms despite the danger of persecution and nightly bombing raids. The Gestapo is on Felice's trail. Her friends flee, she decides to sit out the war with Lilly. One hot day in August 1944, the Gestapo is waiting in Lilly's flat...",2/10/1999,,Aimee & Jaguar,Maria Schrader Juliane K\u00f6hler Johanna Wokalek Heike Makatsch Elisabeth Degen,Max F\u00e4rberb\u00f6ck
0,Comedy Drama,suicide father son relationship surreal independent film parallel world,"The Chumscrubber is a dark comedy about the lives of people who live in upper-class suburbia. It all begins when Dean Stiffle finds the body of his friend, Troy. He doesn't bother telling any of the adults because he knows they won't care. Everyone in town is too self consumed to worry about anything else than themselves. And everybody is on some form of drug just to get through their days.",6/8/2005,Fear. Trust. Love.,The Chumscrubber,Jamie Bell Camilla Belle Justin Chatwin Glenn Close Kathi Copeland,Arie Posin
6800000,Action Thriller Crime,,"Tiffany, Charlie and Vernon are con artists looking to up the ante from their typical scams. They figure a good way of doing this is taking down Dean ""The Dean"" Stevens, a well-known cardsharp, in a rigged game. However, they first need enough money to enter a game with Stevens, so they decide to strike a deal with fellow crook Larry Jennings to scam a local gangster -- which turns out to be a bad idea.",5/18/2003,"Lie, cheat, steal... your deal!",Shade,Stuart Townsend Gabriel Byrne Thandie Newton Jamie Foxx Roger Guenveur Smith,Damian Nieman
6900000,Horror Thriller,mother daughter relationship cross dressing violence mother son relationship father son conflict,"A mother and daughter move to a new town and find themselves living next door to a house where a young girl murdered her parents. When the daughter befriends the surviving son, she learns the story is far from over.",9/21/2012,Fear reaches out... for the girl next door.,House at the End of the Street,Jennifer Lawrence Max Thieriot Elisabeth Shue Gil Bellows Nolan Gerard Funk,Mark Tonderai
6800000,Drama War Mystery,prison middle east rape muslim militia,"A mother's last wishes send twins Jeanne and Simon on a journey to Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love.",9/4/2010,The search began at the opening of their mother's will.,Incendies,Lubna Azabal M\u00e9lissa D\u00e9sormeaux-Poulin Maxim Gaudette R\u00e9my Girard Allen Altman,Denis Villeneuve
0,Drama Comedy Romance,eroticism,"The story of a normal Italian family in which come out the dreams of those who have lost their possibilities and of those who want to realize them. Carlo and Giulia are a married couple who have each given up their aspirations in order to live an average life. Their 19-year-old son, Paolo, is having trouble finding an identity, while their 18-year-old daughter, Valentina, has already figured out how to use sex to her advantage. The family goes through a crisis when Carlo begins having an affair, Giulia attempt to seduce the director of a local stage production she is in, and Valentina does what she does best to land an audition for a TV show",2/11/2003,Some loves are never forgotten,"Remember Me, My Love",Fabrizio Bentivoglio Laura Morante Monica Bellucci Silvio Muccino Nicoletta Romanoff,Gabriele Muccino
0,Action Comedy Crime Drama,suspense,A gangster named Perrier looks to exact his revenge on a trio of fugitives responsible for the accidental death of one of his cronies.,9/11/2009,Blood is thicker than water. Nothing is thicker than thieves.,Perrier’s Bounty,Cillian Murphy Brendan Gleeson Jim Broadbent Padraic Delaney Natalie Britton,Ian Fitzgibbon
4000000,Drama Action Crime,slum police brutality brazilian war on drugs rio de janeiro,"In 1997, before the visit of the pope to Rio de Janeiro, Captain Nascimento from BOPE (Special Police Operations Battalion) is assigned to eliminate the risks of the drug dealers in a dangerous slum nearby where the pope intends to be lodged.",10/12/2007,On the streets of Rio only the elite survive,Elite Squad,Wagner Moura Caio Junqueira Andr\u00e9 Ramiro Milhem Cortaz Fernanda Machado,Jos\u00e9 Padilha
6500000,Horror,prequel evil doll killer doll spin off doll,"John Form has found the perfect gift for his expectant wife, Mia - a beautiful, rare vintage doll in a pure white wedding dress. But Mia's delight with Annabelle doesn't last long. On one horrific night, their home is invaded by members of a satanic cult, who violently attack the couple. Spilled blood and terror are not all they leave behind. The cultists have conjured an entity so malevolent that nothing they did will compare to the sinister conduit to the damned that is now... Annabelle.",10/2/2014,"Before the Conjuring, there was Annabelle.",Annabelle,Annabelle Wallis Ward Horton Tony Amendola Alfre Woodard Eric Ladin,John R. Leonetti
7,Comedy Drama Foreign Romance,musical woman director,"In the Summer of 1965 a young man is filled with the life of the idyllic old pearling port Broome - fishing, hanging out with his mates and his girl. However his mother returns him to the religious mission for further schooling. After being punished for an act of youthful rebellion, he runs away from the mission on a journey that ultimately leads him back home.",8/9/2009,Bran Nue Dae,Bran Nue Dae,Rocky McKenzie Geoffrey Rush Jessica Mauboy Ernie Dingo Missy Higgins,Rachel Perkins
6500000,Crime Drama,street gang black people rap music hip-hop street war,Boyz n the Hood is the popular and successful film and social criticism from John Singleton about the conditions in South Central Los Angeles where teenagers are involved in gun fights and drug dealing on a daily basis.,7/12/1991,Once upon a time in South Central L.A... It ain't no fairy tale.,Boyz n the Hood,Laurence Fishburne Cuba Gooding Jr. Ice Cube Morris Chestnut Angela Bassett,John Singleton
6500000,Drama Music,musical death dying young nostalgic mexican american,Biographical story of the rise from nowhere of singer Ritchie Valens whose life was cut short by a plane crash.,7/24/1987,Born into poverty. Destined for stardom. He lived the American dream.,La Bamba,Lou Diamond Phillips Danielle von Zerneck Elizabeth Pe\u00f1a Rosanna DeSoto Esai Morales,Luis Valdez
0,Comedy Drama Romance,,"Three middle-aged wealthy couples take vacations together in Spring, Summer, Autumn and Winter. Along the way we are treated to mid-life, marital, parental and other crises.",5/22/1981,,The Four Seasons,Alan Alda Carol Burnett Len Cariou Sandy Dennis Rita Moreno,Alan Alda
6500000,Horror Mystery Thriller,transvestism taxi prostitute subway shower,"A mysterious, tall, blonde woman, wearing sunglasses murders one of a psychiatrist's patients, and now she's after the prostitute who witnessed it.",6/25/1980,The Latest Fashion In Murder,Dressed to Kill,Michael Caine Angie Dickinson Nancy Allen Keith Gordon Dennis Franz,Brian De Palma
6500000,Action Adventure Drama Family,southern accent wanted man lynch mob reflection in water lesson,"Climb aboard for an extraordinary version of Mark Twain's sweeping adventure when Walt Disney presents The Adventures of Huck Finn, starring Elijah Wood (The Lord of the Rings). Directed by Stephen Sommers (The Mummy, The Mummy Returns), it's the unforgettable saga of a mischievous youngster and a runaway slave",4/2/1993,For anyone who has ever dreamed of running away from it all,The Adventures of Huck Finn,Elijah Wood Courtney B. Vance Robbie Coltrane Jason Robards Ron Perlman,Stephen Sommers
6500000,Crime Comedy Thriller,ecstasy drug dealing drug reference to family circus high,"Told from three perspectives, a story of a bunch of young Californians trying to get some cash, do and deal some drugs, score money and sex in Las Vegas, and generally experience the rush of life.",4/9/1999,A weekend wasted is never a wasted weekend.,Go,Sarah Polley Katie Holmes Jay Mohr Timothy Olyphant William Fichtner,Doug Liman
6500000,Comedy Drama Romance,midlife crisis marriage money divorce fashion,"After she quits her lucrative job, Olivia finds herself unsure about her future and her relationships with her successful and wealthy friends.",9/7/2006,,Friends with Money,Catherine Keener Jason Isaacs Timm Sharp Jennifer Aniston Joan Cusack,Nicole Holofcener
6500000,Science Fiction Thriller,nasa new mexico biological weapon epilepsy secret lab,"When virtually all of the residents of Piedmont, New Mexico, are found dead after the return to Earth of a space satellite, the head of the US Air Force's Project Scoop declares an emergency. A group of eminent scientists led by Dr. Jeremy Stone scramble to a secure laboratory and try to first isolate the life form while determining why two people from Piedmont - an old alcoholic and a six-month-old baby - survived. The scientists methodically study the alien life form unaware that it has already mutated and presents a far greater danger in the lab, which is equipped with a nuclear self-destruct device designed to prevent the escape of dangerous biological agents..",3/12/1971,The picture runs 130 minutes!... The story covers 96 of the most critical hours in man's history!... The suspense will last through your lifetime!,The Andromeda Strain,Arthur Hill David Wayne James Olson Kate Reid Paula Kelly,Robert Wise
0,Horror Thriller,mutation bat attack closed mine bat attack,Genetically mutated bats escape and it's up to a bat expert and the local sheriff to stop them.,10/22/1999,They will suck you dry,Bats,Lou Diamond Phillips Dina Meyer Bob Gunton Leon Robinson Carlos Jacott,Louis Morneau
0,Drama,loss of family emigration world war ii jew national socialism,"A Jewish woman named Jettel Redlich flees Nazi Germany with her daughter Regina, to join her husband, Walter, on a farm in Kenya. At first, Jettel refuses to adjust to her new circumstances, bringing with her a set of china dishes and an evening gown. While Regina adapts readily to this new world, forming a strong bond with her father's cook, an African named Owuor.",12/11/2001,One family's tale of a homeland lost... and a homeland found.,Nowhere in Africa,Juliane K\u00f6hler Merab Ninidze Sidede Onyulo Matthias Habich Lea Kurka,Caroline Link
6500000,Drama,pornography brother sister relationship sex addiction new york city thirty something,"Brandon is a New Yorker who shuns intimacy with women but feeds his desires with a compulsive addiction to sex. When his wayward younger sister moves into his apartment stirring memories of their shared painful past, Brandon's insular life spirals out of control.",10/2/2011,,Shame,Michael Fassbender Carey Mulligan James Badge Dale Nicole Beharie Alex Manette,Steve McQueen
6500000,Drama Thriller Crime,kidnapping ecstasy drug traffic drug mule hitman,"When a seemingly straight-forward drug deal goes awry, XXXX has to break his die-hard rules and turn up the heat, not only to outwit the old regime and come out on top, but to save his own skin...",9/30/2004,,Layer Cake,Daniel Craig Tom Hardy Colm Meaney George Harris Sally Hawkins,Matthew Vaughn
6500000,Drama,,"""The Work and The Glory: American Zion"" sets the story of the fictional Steed family against the historically factual backdrop of the Mormon people's move into the West. Divided by their diverse reactions to a nascent ideology, the Steeds struggle to hold together as the strength of their convictions and their filial bonds are tested. The stirring narrative of the faith that led a persecuted people to Missouri and beyond is one of the most poignant untold tales of American history. It is the account of a valiant struggle to exercise the rights promised by a fledgling nation. ""The Work and the Glory: American Zion"" unearths the story of the passion behind the movement which eventually launched the largest American migration and the colonization of the West: the vision of a promised land in America.",10/21/2005,,The Work and the Glory II: American Zion,Sam Hennings Brenda Strong Eric Johnson Alexander Carroll Brighton Hertford,Sterling Van Wagenen
6500000,Drama Thriller,secret organization murder environmentalism vanity film eco-terrorists,An operative for an elite private intelligence firm finds her priorities irrevocably changed after she is tasked with infiltrating an anarchist group known for executing covert attacks upon major corporations.,5/31/2013,"Spy on us, we'll spy on you.",The East,Brit Marling Alexander Skarsg\u00e5rd Ellen Page Toby Kebbell Shiloh Fernandez,Zal Batmanglij
6500000,Romance Drama,gay aids based on novel art house tantrum,"Three friends form a bond over the year, Johnathan is gay, Clare is straight and Bobby is neither, instead he loves the people he loves. As their lives go on there is tension and tears which culminate in a strong yet fragile friendship between the three.",7/23/2004,Family can be whatever you want it to be.,A Home at the End of the World,Colin Farrell Dallas Roberts Robin Wright Sissy Spacek Ryan Donowho,Michael Mayer
0,Drama Comedy Foreign,alcohol cocaine daughter road trip independent film,"Kaisa is a Scot, a successful London lawyer, who snorts coke and has one-night stands with strangers. Her mother calls from Aberdeen with some story begging her to fly to Norway and collect her alcoholic dad whom she hasn't seen in years.",7/5/2000,,Aberdeen,Stellan Skarsg\u00e5rd Lena Headey Ian Hart Charlotte Rampling Louise Goodall,Hans Petter Moland
6500000,Drama History,independent film wounded soldier iraq war,"Will Montgomery (Ben Foster), a U.S. Army Staff Sergeant who has returned home from Iraq, is assigned to the Army’s Casualty Notification service. Montgomery is partnered with Captain Tony Stone (Woody Harrelson), to give notice to the families of fallen soldiers. The Sergeant is drawn to Olivia Pitterson (Samantha Morton), to whom he has delivered news of her husband’s death.",11/13/2009,The Scars of War Will Last Forever,The Messenger,Ben Foster Woody Harrelson Jena Malone Eamonn Walker Samantha Morton,Oren Moverman
6500000,Action Drama Thriller Adventure,,"An ex-Boer war guerrilla in New Zealand is sent out to bring back a Maori accused of killing a British soldier. Gradually they grow to know and respect one another but a posse, led by the British Commanding officer is close behind and his sole intention is to see the Maori hang. Written by Filmfinders 1903. A guerilla fighter from the South African Boer war called Arjan (Winstone) takes on a manhunt for Maori seaman Kereama (Morrison), who is accused of murdering a British soldier. What follows is a cat and mouse pursuit through the varied landscape of NZ with both hunter and huntee testing their bushcraft and wits against that of the other. Written by Anonymous",5/20/2010,,Tracker,Ray Winstone Temuera Morrison Andy Anderson Gareth Reeves Mark Mitchinson,Ian Sharp
0,Drama,manchester city medicine new love epilepsy wife,"Control is the biography of Joy Division lead singer Ian Curtis, taking his story from schoolboy days of 1973 to his suicide on the eve of the band's first American tour in 1980.",9/26/2007,,Control,Sam Riley Samantha Morton Alexandra Maria Lara Joe Anderson James Anthony Pearson,Anton Corbijn
6400000,Action Thriller Science Fiction,saving the world artificial intelligence rebel cyborg shotgun,"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",10/26/1984,Your future is in his hands.,The Terminator,Arnold Schwarzenegger Michael Biehn Linda Hamilton Paul Winfield Lance Henriksen,James Cameron
4800000,Comedy Drama Romance,bureaucracy berlin wall police state coma loss of mother,An affectionate and refreshing East/West-Germany comedy about a boy who’s mother was in a coma while the Berlin wall fell and when she wakes up he must try to keep her from learning what happen (since she was an avid communist supporter) to avoid shocking her which could lead to another heart attack.,2/9/2003,The German Democratic Republic lives on -- in 79 square meters!,"Good bye, Lenin!",Daniel Br\u00fchl Katrin Sass Chulpan Khamatova Maria Simon Florian Lukas,Wolfgang Becker
10000000,Drama,england leeds united sport brighton soccer,"Taking over Leeds United, Brian Clough's abrasive approach and his clear dislike of the players' dirty style of play make it certain there is going to be friction. Glimpses of his earlier career help explain both his hostility to previous manager Don Revie and how much he is missing right-hand man Peter Taylor",3/27/2009,They love me for what I'm not... ...they hate me for what I am.,The Damned United,Michael Sheen Timothy Spall Colm Meaney Jim Broadbent Maurice Roeves,Tom Hooper
4000000,Comedy Horror,female nudity crematorium nudity punk company,"When a bumbling pair of employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to re-animate as they go on a rampage seeking their favorite food: brains!",5/15/1985,They're Back From The Grave and Ready To Party!,The Return of the Living Dead,Clu Gulager James Karen Don Calfa Thom Mathews John Philbin,Dan O'Bannon
6000000,Romance Comedy,sex game show slacker shopping mall,"Both dumped by their girlfriends, two best friends seek refuge in the local mall.",10/20/1995,They're not there to shop. They're not there to work. They're just there.,Mallrats,Jason Lee Jeremy London Shannen Doherty Claire Forlani Ben Affleck,Kevin Smith
6000000,Romance,flying car street gang running graduation musical,"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?",7/7/1978,Grease is the word,Grease,John Travolta Olivia Newton-John Stockard Channing Jeff Conaway Didi Conn,Randal Kleiser
6000000,Drama War Action,famous score hero mine vietnam war village,"As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",12/18/1986,The first casualty of war is innocence.,Platoon,Tom Berenger Charlie Sheen Willem Dafoe Forest Whitaker John C. McGinley,Oliver Stone
6000000,Documentary,usa president jihad saudi arabia war on terror iraq,Michael Moore's view on what happened to the United States after September 11; and how the Bush Administration allegedly used the tragic event to push forward its agenda for unjust wars in Afghanistan and Iraq.,6/25/2004,Controversy... what controversy?,Fahrenheit 9/11,Robert De Niro Michael Moore George W. Bush Ben Affleck Stevie Wonder,Michael Moore
6000000,History Drama Western Crime,wyoming historical figure loot sharing,"In late 1890s Wyoming, Butch Cassidy is the affable, clever and talkative leader of the outlaw Hole in the Wall Gang. His closest companion is the laconic dead-shot 'Sundance Kid'. As the west rapidly becomes civilized, the law finally catches up to Butch, Sundance and their gang.  Chased doggedly by a special posse, the two decide to make their way to South America in hopes of evading their pursuers once and for all.",9/23/1969,"Not that it matters, but most of it is true.",Butch Cassidy and the Sundance Kid,Paul Newman Robert Redford Katharine Ross Strother Martin Henry Jones,George Roy Hill
